route_id,agency_id,route_short_name,route_long_name,route_type
73,227098, Reşiţa Nord - Timişoara Nord, Reşiţa Nord - Câlnic h. - Moniom h. - Colţan h. - Bocşa Montană hc. - Vasiova - Bocşa Română hc. - Berzovia - Gherteniş hc. - Măureni hc. - Gătaia - Birda hcv. - Voiteni - Jebel - Pădureni Timiş  P.M. - Timişeni Hm. - Timişoara C.E.T. - Timişoara Sud - Timişoara Nord,2
74,227098, Braşov - Constanţa, Braşov - Predeal - Azuga - Buşteni - Sinaia - Comarnic - Breaza hc. - Câmpina - Floreşti Prahova - Ploieşti Vest - Chitila - Bucureşti Băneasa - Feteşti - Constanţa,2
75,227098, Cruceni hcv. - Timişoara Nord, Cruceni hcv. - Rudna hc. - Giulvăz h - Cebza h. - Peciu Nou h. - Parţa h. - Sânmihai h. - Utvin h. - Timişoara Vest Hm. - Timişoara Nord,2
76,227098, Iaşi - Truşeşti, Iaşi - Leţcani - Movileni h - Potângeni hc. - Larga Jijia Hm. - Vlădeni - Iacobenii Vechi hc. - Şoldana hc. - Andrieşeni hc. - Rediu hc. - Răuşeni hc. - Todireni Hm. - Jijia h. - Zlătunoaia h - Truşeşti,2
77,227098, Lovrin - Nerău hcv., Lovrin - Gotlob h. - Comloşu Mare h. - Teremia Banat hc. - Nerău hcv.,2
78,227098, Vârfurile Hm. - Brad, Vârfurile Hm. - Cariera Leasa h. - Hălmagiu Hm. - Ocişor h. - Ociu h. - Vaţa h. - Birtin h. - Lunca Moţilor h. - Baia de Criş h. - Ţebea h - Ribiţa h. - Brad,2
79,227098, Târnaveni - Blaj, Târnaveni - Târnaveni Vest Hm. - Adămuş h. - Corneşti Târnava h. - Crăieşti h. - Cetatea de Baltă h. - Feisa h. - Jidvei  hcv. - Bălcaci h. - Sfântu Nicolae h. - Şona h. - Pănade h. - Sâncel h. - Blaj,2
80,227098, Drăgăneşti Prahova Hm. - Urziceni, Drăgăneşti Prahova Hm. - Hătcărău h. - Ciorani Hm. - Fulga hc. - Ialomiţa Hm. - Armăşeşti Hm. - Bărbuleşti h. - Urziceni,2
81,227098, Nerău hcv. - Lovrin, Nerău hcv. - Teremia Banat hc. - Comloşu Mare h. - Gotlob h. - Lovrin,2
82,227098, Ploieşti Vest - Iaşi, Ploieşti Vest - Ploieşti Sud - Mizil - Buzău - Râmnicu Sărat - Focşani - Mărăşeşti - Tecuci Nord hc.(605) - Bârlad - Crasna - Vaslui - Buhăieşti - Bârnova Hm. - Nicolina - Iaşi,2
83,227098, Dorohoi - Iaşi, Dorohoi - Broscăuţi h. - Carasa h. - Corlăteni h - Mateieni h. - Vorniceni h. - Mândreşti h. - Ungureni Hm. - Dângeni Nord h. - Dângeni - Buhăceni h. - Truşeşti - Zlătunoaia h - Jijia h. - Todireni Hm. - Răuşeni hc. - Rediu hc. - Andrieşeni hc. - Şoldana hc. - Iacobenii Vechi hc. - Vlădeni - Larga Jijia Hm. - Potângeni hc. - Movileni h - Leţcani - Iaşi,2
84,227098, Miceştii de Câmpie h. - Bistriţa Nord, Miceştii de Câmpie h. - Sânmihaiu de Câmpie h. - Brăteni h. - Sângiorgiu Nou h. - Vermeş h. - Lechinţa - Ţigău h. - Chiraleş h. - Chintelnic h. - Măgheruş Şieu Hm. - Arcalia hc. - Sărăţel - Sărata h. - Bistriţa Fabrici h. - Bistriţa Nord,2
